

名称,所在地,ホームページURL,動画URL,X座標,Y座標
石場旅館,青森県弘前市元寺町55,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#15,https://www.youtube.com/watch?v=DLPePzBKlNE&feature=youtu.be,67299.0945,-30778.0215
旧高谷家別邸（翠明荘）,青森県弘前市元寺町69,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#14,https://www.youtube.com/watch?v=DLPePzBKlNE&feature=youtu.be,67380.0295,-30777.63559
カトリック弘前教会,青森県弘前市百石町小路20,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#13,https://www.youtube.com/watch?v=DLPePzBKlNE&feature=youtu.be,67397.6937,-30562.8173
鎌田屋商店（蔵）,青森県弘前市和徳町3-1,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#12,https://www.youtube.com/watch?v=Etrze-Zes-k&feature=youtu.be,67350.62699,-30306.75518
平野,青森県弘前市徒町川端町7,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#11,https://www.youtube.com/watch?v=Etrze-Zes-k&feature=youtu.be,67169.094,-30423.7089
小堀旅館,青森県弘前市本町89,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#10,https://www.youtube.com/watch?v=Etrze-Zes-k&feature=youtu.be,66825.4942,-30861.6158
高砂そば,青森県弘前市親方町1-2,http://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#9,https://www.youtube.com/watch?v=Etrze-Zes-k&feature=youtu.be,66923.3944,-30862.3174
田中屋,青森県弘前市元寺町7,http://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#8,https://www.youtube.com/watch?v=Etrze-Zes-k&feature=youtu.be,67037.4946,-30779.117
旧弘前無尽社屋（三上ビル）,青森県弘前市元寺町9,http://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#7,https://www.youtube.com/watch?v=Etrze-Zes-k&feature=youtu.be,67061.65779,-30774.8023
名曲＆珈琲ひまわり,青森県弘前市坂本町2,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#5,https://www.youtube.com/watch?v=Etrze-Zes-k&feature=youtu.be,66797.7935,-30389.4023
開雲堂,青森県弘前市土手町83,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#4,https://www.youtube.com/watch?v=Etrze-Zes-k&feature=youtu.be,66711.0931,-30391.2011
一戸時計店,青森県弘前市土手町87,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#3,https://www.youtube.com/watch?v=Etrze-Zes-k&feature=youtu.be,66694.1928,-30387.7005
小野金商店,青森県弘前市北瓦ケ町6,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#2,https://www.youtube.com/watch?v=Etrze-Zes-k&feature=youtu.be,66824.3944,-30091.8943
保村打刃物製作所,青森県弘前市代官町68-2,http://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#1,https://www.youtube.com/watch?v=Etrze-Zes-k&feature=youtu.be,66897.96107,-30004.35346
